CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
40174232,1445.26965,344,123,38,3/24/15,38.03341184
51277800,1444.74982,486,195,29,3/21/15,49.81895931
36512827,1444.24974,345,206,21,3/23/15,68.77379714
38986641,1444.20984,405,259,36,3/17/15,40.11694
39734475,1435.88995,447,246,13,3/20/15,110.4530731
23732089,1435.3099,469,239,12,3/21/15,119.6091583
22243383,1431.23982,369,192,9,3/14/15,159.0266467
22211112,1429.96991,572,184,53,3/25/15,26.98056434
22153202,1429.02984,452,249,68,3/24/15,21.01514471
39814550,1428.19979,427,239,20,3/24/15,71.4099895
22338866,1426.08987,395,225,28,3/22/15,50.93178107
39550654,1425.52967,411,183,93,3/25/15,15.32827602
39305053,1423.8197,329,219,54,3/23/15,26.36703148
21577206,1420.86988,449,241,40,3/24/15,35.521747
23480761,1417.10987,450,225,51,3/25/15,27.78646804
26323180,1415.45976,411,167,12,3/22/15,117.95498
20908906,1409.16986,389,194,45,3/16/15,31.31488578
34364459,1407.27973,312,141,17,3/23/15,82.78116059
38976625,1407.10986,450,219,28,3/22/15,50.25392357
23613519,1406.09963,441,175,13,3/22/15,108.16151
21236702,1405.79952,335,152,40,3/25/15,35.144988
31746402,1404.88977,364,235,9,3/19/15,156.0988633
23442808,1402.90968,392,197,36,3/24/15,38.96971333
21692535,1402.72975,392,174,20,3/21/15,70.1364875
22295659,1402.25966,396,183,17,3/21/15,82.48586235
22153114,1397.30985,709,213,23,3/21/15,60.75260217
22649456,1395.34976,341,193,29,3/23/15,48.11550897
21451730,1394.56971,361,199,34,3/21/15,41.01675618
23627706,1387.28969,349,189,17,3/20/15,81.60527588
23721722,1386.95961,326,174,9,3/2/15,154.1066233
27904864,1386.70984,367,156,33,3/24/15,42.0215103
21725621,1383.28977,400,174,37,3/25/15,37.38621
22256762,1381.25968,436,206,29,3/24/15,47.62964414
21280591,1380.74978,373,225,24,3/25/15,57.53124083
22210492,1378.34977,365,112,13,3/19/15,106.0269054
22307860,1371.26982,333,142,12,3/25/15,114.272485
25752343,1371.19974,391,239,11,3/21/15,124.6545218
36513941,1371.17974,337,197,33,3/24/15,41.55090121
39915641,1370.86981,428,138,29,3/25/15,47.27137276
52627049,1370.62978,382,247,50,3/25/15,27.4125956
22211081,1368.40993,523,281,38,3/25/15,36.01078763
20789159,1367.95982,373,233,37,3/25/15,36.97188703
39659252,1367.20987,367,202,13,3/19/15,105.16999
22153167,1366.06988,390,206,10,3/13/15,136.606988
25775189,1365.63974,396,198,65,3/24/15,21.00984215
23727830,1363.90979,515,274,92,3/24/15,14.82510641
20977448,1363.30987,395,223,64,3/25/15,21.30171672
37613697,1363.2699,401,198,18,3/20/15,75.73721667
51912558,1362.65976,338,211,37,3/24/15,36.82864216
41521952,1362.3398,343,225,31,3/23/15,43.94644516
21567511,1361.2499,448,244,31,3/21/15,43.9112871
22588576,1359.84965,334,175,14,3/22/15,97.13211786
25814690,1359.20986,399,228,13,3/21/15,104.5546046
21629738,1356.07969,447,186,11,3/25/15,123.2799718
20663484,1353.83977,408,222,27,2/27/15,50.1422137
39737580,1353.51985,467,237,88,3/24/15,15.38090739
21626285,1353.0099,390,131,56,3/25/15,24.16089107
22844531,1352.34978,338,145,40,3/21/15,33.8087445
23795721,1351.32979,379,159,38,3/25/15,35.56131026
37350025,1350.62982,415,198,48,3/23/15,28.13812125
22203524,1347.1597,346,204,5,3/19/15,269.43194
25799494,1346.55985,431,232,17,3/21/15,79.20940294
22249610,1344.38986,394,209,51,3/24/15,26.36058549
20850069,1342.46992,416,200,22,3/24/15,61.02136
21163694,1341.87978,369,220,8,3/24/15,167.7349725
23637223,1341.47989,392,184,13,3/20/15,103.1907608
22240867,1341.09983,434,158,11,3/25/15,121.9181664
20749186,1339.47993,429,198,31,3/23/15,43.20903
21580068,1339.26981,338,212,12,3/20/15,111.6058175
24375502,1337.05972,292,160,8,3/25/15,167.132465
21430705,1334.27984,340,217,24,3/16/15,55.59499333
52537705,1332.85988,350,171,14,3/21/15,95.20427714
26324546,1332.53987,365,256,12,3/24/15,111.0449892
40039076,1331.94982,368,228,14,3/21/15,95.13927286
22249626,1330.01982,346,126,11,3/21/15,120.9108927
21627385,1326.06986,356,169,17,3/17/15,78.00410941
21471945,1324.59996,464,281,20,3/14/15,66.229998
42486969,1324.34988,410,231,49,3/24/15,27.02754857
21592592,1323.78991,417,223,14,3/21/15,94.55642214
21621018,1323.56959,353,147,12,3/21/15,110.2974658
23241052,1323.42984,409,217,17,3/21/15,77.84881412
21618865,1321.15966,363,180,21,3/24/15,62.91236476
20890997,1320.76977,323,188,8,3/24/15,165.0962213
22534841,1316.93973,296,136,11,3/20/15,119.7217936
20797838,1315.40981,418,224,24,3/25/15,54.80874208
39812492,1313.23981,364,184,35,3/24/15,37.52113743
37511968,1312.13984,423,160,19,3/24/15,69.05999158
20901927,1309.94995,406,247,31,3/25/15,42.25645
37635979,1309.88975,331,188,8,3/21/15,163.7362188
34481587,1308.26978,393,197,34,3/25/15,38.47852294
23678547,1307.19979,334,161,60,3/25/15,21.78666317
23023981,1307.13978,390,124,39,3/25/15,33.51640462
39921507,1305.49978,327,210,9,3/22/15,145.0555311
22210550,1303.67982,399,249,24,3/24/15,54.3199925
40234064,1299.69971,348,131,13,3/21/15,99.97690077
21152473,1293.04989,329,170,13,3/21/15,99.46537615
39748859,1292.60997,392,264,36,3/20/15,35.9058325
22383974,1290.60973,411,190,12,3/24/15,107.5508108
20747314,1290.01981,330,199,20,3/21/15,64.5009905
23793727,1289.78975,342,224,13,3/21/15,99.21459615
26317477,1289.51992,369,211,23,3/19/15,56.06608348
37613699,1287.94988,342,211,38,3/24/15,33.89341789
40099467,1286.47994,340,174,30,3/24/15,42.88266467
22352660,1284.61999,769,224,30,3/23/15,42.82066633
20829920,1283.37985,381,168,8,2/28/15,160.4224813
22495434,1282.66973,317,176,9,3/22/15,142.5188589
22300449,1280.63983,458,111,34,3/25/15,37.66587735
21152405,1278.6499,400,193,8,3/21/15,159.8312375
22207985,1277.89971,364,227,62,3/24/15,20.61128565
37158663,1276.95977,291,134,37,3/24/15,34.51242622
46385731,1273.3499,376,235,14,3/21/15,90.95356429
37633296,1272.89965,325,135,30,3/25/15,42.42998833
31706983,1272.02988,384,184,17,3/21/15,74.82528706
23795716,1270.92972,427,151,50,3/22/15,25.4185944
22847700,1269.90966,292,162,22,3/23/15,57.72316636
22352133,1267.39979,329,162,7,2/9/15,181.0571129
26326819,1266.24971,308,164,24,3/23/15,52.76040458
28857852,1264.67962,336,96,17,3/22/15,74.39291882
22208037,1264.01998,542,271,82,3/23/15,15.4148778
34317426,1257.75951,360,138,19,3/23/15,66.19786895
22752159,1257.72975,407,158,37,3/23/15,33.99269595
21988304,1257.63976,326,128,20,3/24/15,62.881988
36331311,1257.37987,423,212,22,3/24/15,57.15363045
51617079,1256.22995,394,210,11,3/22/15,114.2027227
37466639,1255.89995,374,240,12,3/17/15,104.6583292
21283219,1255.74972,360,185,36,3/25/15,34.88193667
39424004,1254.94973,337,186,11,3/23/15,114.0863391
22331540,1253.67956,355,141,6,3/4/15,208.9465933
22561105,1251.40984,356,202,32,3/25/15,39.1065575
21344365,1251.18974,321,176,15,3/24/15,83.41264933
21166408,1250.18978,329,168,20,3/24/15,62.509489
22339185,1249.87981,323,175,10,3/16/15,124.987981
21431899,1246.53969,276,167,14,3/22/15,89.03854929
34940637,1246.4199,385,230,30,3/25/15,41.54733
37458413,1245.68997,418,147,32,3/23/15,38.92781156
23819433,1245.49988,377,202,14,3/24/15,88.96427714
41518109,1243.73984,451,223,10,3/21/15,124.373984
21157309,1243.45984,367,160,26,3/20/15,47.82537846
21294282,1242.46982,305,191,18,3/21/15,69.02610111
22153279,1242.40981,366,241,19,3/25/15,65.38999
22220229,1238.04987,425,242,21,3/24/15,58.95475571
51283766,1236.99982,315,163,23,3/23/15,53.78260087
25757117,1236.52983,310,155,33,3/23/15,37.47060091
22153088,1235.04996,363,178,11,3/21/15,112.2772691
21155070,1234.57989,287,130,10,3/24/15,123.457989
20751902,1233.58982,285,130,11,3/22/15,112.1445291
22211050,1233.35983,332,184,19,3/25/15,64.91367526
22828379,1232.35995,355,246,6,3/8/15,205.393325
21159896,1232.21992,348,179,34,3/25/15,36.24176235
21151251,1229.56996,399,252,18,3/25/15,68.30944222
53486132,1228.89994,335,186,11,3/24/15,111.7181764
22165041,1227.22993,499,294,26,3/24/15,47.20115115
25259101,1226.3299,369,155,21,3/6/15,58.3966619
22240851,1226.20979,314,113,23,3/22/15,53.31346913
22588901,1226.01986,388,229,34,3/25/15,36.05940765
23604284,1225.8299,299,154,17,3/25/15,72.10764118
39658676,1225.71977,359,184,26,3/24/15,47.14306808
34427718,1225.67976,318,201,12,3/24/15,102.13998
22563319,1225.41982,353,181,7,3/25/15,175.0599743
22249592,1225.18989,379,224,38,3/24/15,32.24183921
52857684,1224.79978,291,203,21,3/22/15,58.32379905
22515423,1224.75981,353,178,18,3/22/15,68.04221167
53102867,1224.06994,380,230,40,3/24/15,30.6017485
20813610,1223.87987,389,201,16,3/20/15,76.49249188
23604987,1222.85993,348,189,29,3/24/15,42.16758379
21153860,1222.06982,325,165,11,3/20/15,111.0972564
26262549,1221.83991,343,174,28,3/24/15,43.63713964
21056671,1220.17977,367,166,16,3/25/15,76.26123563
39814269,1219.24992,362,190,12,3/23/15,101.60416
40241111,1218.67991,338,219,23,3/22/15,52.98608304
21621965,1218.6198,330,168,26,3/22/15,46.86999231
36172189,1218.35987,351,236,25,3/19/15,48.7343948
23748552,1213.52981,334,184,14,3/12/15,86.68070071
23835963,1213.34996,488,77,78,3/25/15,15.55576872
21293065,1212.04971,321,105,17,3/25/15,71.29704176
36762673,1210.09978,342,198,21,3/24/15,57.62379905
23625944,1208.77982,413,278,31,3/25/15,38.99289742
21451913,1208.32977,356,168,27,3/21/15,44.75295444
40146485,1206.85989,354,167,51,3/25/15,23.66391941
22208009,1205.62988,359,177,12,3/12/15,100.4691567
22338510,1203.16949,274,139,19,3/24/15,63.32471
40172913,1201.9297,326,126,28,3/25/15,42.92606071
21330132,1201.72995,571,120,50,3/25/15,24.034599
22153123,1200.81994,336,204,24,3/25/15,50.03416417
42469396,1197.99987,413,248,32,3/23/15,37.43749594
51519267,1197.8296,356,165,17,3/12/15,70.46056471
22003304,1197.62991,357,203,10,3/14/15,119.762991
21573438,1196.42978,325,198,15,3/14/15,79.76198533
20876593,1195.83984,331,183,10,3/21/15,119.583984
23630341,1195.43978,285,179,24,3/22/15,49.80999083
20720450,1195.40977,312,193,41,3/24/15,29.15633585
37707412,1194.7398,357,180,16,3/20/15,74.6712375
22211113,1192.3299,321,167,20,3/24/15,59.616495
21154780,1191.84973,359,186,15,3/21/15,79.45664867
22963107,1189.32977,339,137,25,3/24/15,47.5731908
20991391,1188.20981,379,151,32,3/23/15,37.13155656
36873736,1187.60969,321,76,14,3/22/15,84.82926357
52776440,1187.53983,325,162,11,3/24/15,107.9581664
21467825,1186.92988,326,192,20,3/24/15,59.346494
36832982,1186.0498,332,182,23,3/21/15,51.56738261
22221152,1184.7899,340,205,25,3/25/15,47.391596
22211067,1183.07991,401,199,16,3/24/15,73.94249438
21700640,1181.43985,352,264,22,3/19/15,53.70181136
51848382,1180.22955,299,130,6,3/13/15,196.704925
22206028,1177.5096,300,141,41,3/25/15,28.71974634
